number,value,params_dino_pipeline_clustering_clusterer_method,params_dino_pipeline_clustering_feature_processing_normalizer_method,params_dino_pipeline_clustering_k_selection_method,params_extractors_dino_v2_layer_name,params_extractors_resnet_layer_name,params_heuristic_settings_filter_params_filter_min_area_perc,params_heuristic_settings_generator_params_points_per_side,params_heuristic_settings_generator_params_pred_iou_thresh,params_heuristic_settings_generator_params_stability_score_thresh,params_heuristic_settings_k_heuristic_formulas_semantic_scale_factor,params_heuristic_settings_k_heuristic_formulas_structural_multiplier,params_resnet_pipeline_clustering_clusterer_method,params_resnet_pipeline_clustering_feature_processing_normalizer_method,params_resnet_pipeline_clustering_k_selection_method,params_resnet_pipeline_image_preprocessing_use_gaussian_blur,params_run_dino_pipeline,params_run_resnet_pipeline,params_validator_settings_semantic_threshold,params_validator_settings_structural_threshold,params_validator_settings_weights_clip_confidence,params_validator_settings_weights_dino_iou,params_validator_settings_weights_resnet_iou,state,user_attrs_avg_clip_confidence,user_attrs_avg_entropy_labels,user_attrs_consistency_reward,user_attrs_iou_ratio_dino_resnet,user_attrs_iou_variance,user_attrs_k_semantic_used,user_attrs_k_structural_used,user_attrs_mean_iou,user_attrs_num_correct_segments,user_attrs_num_sam_masks,user_attrs_num_segments,user_attrs_semantic_score,user_attrs_semantic_structural_alignment,user_attrs_value
0,0.15,kmeans,l2,silhouette,blocks.11,layer2,0.007812319850211431,16,0.8918884611286351,0.8789302577541107,0.8194048857034626,1.0761764859499423,graph,l2,heuristic,False,True,True,0.619148539013683,0.26804752919768926,0.31467338309593706,0.9516757420018628,0.7351240370599664,COMPLETE,0.0,0.0,1.0,1.0,0.0,3,2,0.0,0,2,0,0.0,0.0,0.15
1,0.15,graph,root-norm,silhouette,blocks.7,layer2,0.011010117974201452,16,0.844456972731232,0.951230550368203,1.2964527790453984,2.114938404168337,graph,root-norm,heuristic,False,True,True,0.8094571068321883,0.2747389347450702,0.11457503428116111,0.4895313873533439,0.9599526252916244,COMPLETE,0.0,0.0,1.0,1.0,0.0,3,2,0.0,0,2,0,0.0,0.0,0.15
2,0.15,graph,l2,silhouette,blocks.11,layer2,0.0033659866002921078,32,0.8147172644965114,0.8954735547701187,0.6709238303531688,4.971892824093931,graph,root-norm,silhouette,True,False,True,0.5346092149543116,0.4582585225083981,0.8398366532330077,0.7619421057925448,0.0041571776834438134,COMPLETE,0.0,0.0,1.0,1.0,0.0,3,2,0.0,0,2,0,0.0,0.0,0.15
3,0.15,kmeans,root-norm,silhouette,blocks.11,layer2,0.008482494560226518,16,0.9367403355429625,0.9302657891452605,0.5494523102897564,3.1893767654967253,graph,l2,silhouette,True,False,True,0.5115959448828052,0.5716606984664825,0.0016127193186199484,0.5311609170474905,0.4591909661565253,COMPLETE,0.0,0.0,1.0,1.0,0.0,3,2,0.0,0,2,0,0.0,0.0,0.15
4,0.15,graph,l2,heuristic,blocks.11,layer3,0.006333379380194597,16,0.9037156490239778,0.935250975452862,0.5984817078826806,1.3943561032476914,graph,root-norm,silhouette,False,True,True,0.6953976043965049,0.7241846955499376,0.07398447427662835,0.45262362684119795,0.987678813106401,COMPLETE,0.0,0.0,1.0,1.0,0.0,3,2,0.0,0,2,0,0.0,0.0,0.15
5,0.15,kmeans,root-norm,heuristic,blocks.7,layer4,0.011438440405105024,32,0.9199415371184397,0.885945400844417,1.672506444598954,2.035303102176006,graph,root-norm,heuristic,True,False,False,0.308937919277541,0.8978655611803443,0.14923883205833244,0.7554121990280188,0.9369158929750275,COMPLETE,0.0,0.0,1.0,1.0,0.0,3,2,0.0,0,2,0,0.0,0.0,0.15
6,0.15,kmeans,l2,heuristic,blocks.11,layer2,0.0016728988422435051,32,0.8980691618767539,0.9447788162166295,1.6724081718919166,3.9315355396348997,kmeans,l2,heuristic,False,False,False,0.23500206300510787,0.6586721201803989,0.12998476569157524,0.8002742262927528,0.9226535794854439,COMPLETE,0.0,0.0,1.0,1.0,0.0,3,2,0.0,0,2,0,0.0,0.0,0.15
7,0.15,kmeans,l2,silhouette,blocks.11,layer4,0.003232297439273248,32,0.8281522035574369,0.934413124663576,1.9157249286603522,1.7618145332380135,graph,root-norm,heuristic,True,False,True,0.29898132813210065,0.6737434050012092,0.5773984457019005,0.40816396981421643,0.0184028507939632,COMPLETE,0.0,0.0,1.0,1.0,0.0,3,2,0.0,0,2,0,0.0,0.0,0.15
8,0.15,graph,root-norm,heuristic,blocks.11,layer4,0.013984842529851868,16,0.9597359785861019,0.9393324767885436,0.8035868725594453,3.8989726816083574,kmeans,root-norm,heuristic,False,True,False,0.5960803736499698,0.3384308689787612,0.6824960876927867,0.13549154598820523,0.6106990854096805,COMPLETE,0.0,0.0,1.0,1.0,0.0,3,2,0.0,0,2,0,0.0,0.0,0.15
9,0.15,kmeans,root-norm,silhouette,blocks.11,layer3,0.0024971871469843883,32,0.8397320446008995,0.9330865327081351,0.5340777092353028,3.0196653884772813,kmeans,root-norm,silhouette,True,False,False,0.4280778682400803,0.717661102016723,0.9755276037001565,0.24602719009414376,0.006023462297189197,COMPLETE,0.0,0.0,1.0,1.0,0.0,3,2,0.0,0,2,0,0.0,0.0,0.15
