number,value,params_dino_pipeline.clustering.clusterer.method,params_dino_pipeline.clustering.clusterer.n_neighbors,params_dino_pipeline.clustering.feature_processing.normalizer.method,params_dino_pipeline.clustering.feature_processing.reducer.method,params_dino_pipeline.clustering.feature_processing.reducer.n_components,params_dino_pipeline.clustering.feature_processing.run_normalization,params_dino_pipeline.clustering.feature_processing.run_reduction,params_dino_pipeline.clustering.k_selection.method,params_extractors.clip.layer_name,params_extractors.clip.model_name,params_extractors.dino_v2.layer_name,params_extractors.dino_v2.model_name,params_extractors.resnet.layer_name,params_extractors.resnet.model_name,params_fusion_pipeline.clustering.k_selection.k_source,params_heuristic_settings.filter_params.filter_min_area_perc,params_heuristic_settings.filter_params.nms_iou_threshold,params_heuristic_settings.filter_params.use_nms,params_heuristic_settings.generator_params.min_mask_region_area,params_heuristic_settings.generator_params.points_per_side,params_heuristic_settings.generator_params.pred_iou_thresh,params_heuristic_settings.generator_params.stability_score_thresh,params_heuristic_settings.k_heuristic_formulas.max_k,params_heuristic_settings.k_heuristic_formulas.semantic_base,params_heuristic_settings.k_heuristic_formulas.semantic_scale_factor,params_heuristic_settings.k_heuristic_formulas.structural_multiplier,params_heuristic_settings.sam_model,params_labeler.aggregation_method,params_labeler.aggregation_top_k_perc,params_labeler.top_n_labels,params_resnet_pipeline.clustering.clusterer.method,params_resnet_pipeline.clustering.clusterer.n_neighbors,params_resnet_pipeline.clustering.feature_processing.normalizer.method,params_resnet_pipeline.clustering.feature_processing.reducer.method,params_resnet_pipeline.clustering.feature_processing.reducer.n_components,params_resnet_pipeline.clustering.feature_processing.run_normalization,params_resnet_pipeline.clustering.feature_processing.run_reduction,params_resnet_pipeline.clustering.k_selection.method,params_resnet_pipeline.image_preprocessing.blur_kernel_size,params_resnet_pipeline.image_preprocessing.clahe_clip_limit,params_resnet_pipeline.image_preprocessing.sobel_kernel_size,params_resnet_pipeline.image_preprocessing.use_clahe,params_resnet_pipeline.image_preprocessing.use_gaussian_blur,params_resnet_pipeline.image_preprocessing.use_grayscale,params_resnet_pipeline.image_preprocessing.use_sobel_edges,params_run_dino_pipeline,params_run_fusion_pipeline,params_run_resnet_pipeline,params_validator_settings.final_threshold,params_validator_settings.semantic_threshold,params_validator_settings.structural_threshold,params_validator_settings.weights.clip_confidence,params_validator_settings.weights.dino_iou,params_validator_settings.weights.resnet_iou,state,user_attrs_error,user_attrs_max_clip_confidence,user_attrs_num_correct_segments
899,0.0,graph,16,z-score,svd,25,False,True,silhouette,transformer.resblocks.11,ViT-B/32,blocks.11,dinov2_vitb14,layer2,resnet50,structural,0.006155519881242175,0.7885207478421961,False,50,8,0.9164904899766997,0.9187251683805431,15,3,0.8677543890302872,2.7263576779521213,facebook/sam2-hiera-large,mean,0.1256248165690366,3,graph,15,z-score,umap,61,False,True,heuristic,3.0,3.5261752602134098,3,True,True,False,False,False,True,False,0.6801465689604517,0.631577413176752,0.6188543355851763,0.6060991714712953,0.5496336816244521,0.8981182745551491,COMPLETE,,0.0,0
0,0.0,graph,16,z-score,svd,51,True,False,silhouette,transformer.resblocks.11,ViT-B/32,blocks.11,dinov2_vitb14,layer3,resnet50,structural,0.007430582629721761,0.7274989471334391,False,200,8,0.966347777159921,0.9665608877603562,22,4,0.5202224531145824,2.524958558335176,facebook/sam2-hiera-large,mean,0.13743068161389524,5,kmeans,40,z-score,umap,63,True,True,silhouette,3.0,3.140513278275465,3,False,True,False,False,True,True,True,0.6931307125438411,0.6507223379406845,0.6399268460342241,0.16072525951402583,0.6197936839028574,0.7952149524781346,COMPLETE,,0.0,0
1,0.0,graph,37,l2,svd,20,False,True,heuristic,transformer.resblocks.11,ViT-B/32,blocks.4,dinov2_vitb14,layer3,resnet50,semantic,0.00200327607108876,0.6434517846111415,False,100,32,0.841474740332003,0.9172481308311702,25,3,1.0354490156645406,2.5289728538766663,facebook/sam2-hiera-large,mean,0.3693493340878188,3,graph,38,z-score,umap,64,False,True,heuristic,3.0,2.030747217266073,5,True,True,True,False,False,False,False,0.7441478483063448,0.7294699291016741,0.6947039813731117,0.1864091546292136,0.8205212259698448,0.9282046997635007,COMPLETE,,0.0,0
2,0.0,graph,40,z-score,pca,38,True,True,heuristic,transformer.resblocks.10,ViT-B/32,blocks.11,dinov2_vitb14,layer1,resnet50,semantic,0.004335211357399364,0.8394499974555174,True,50,16,0.8779089859444991,0.9426864590416095,28,3,0.9052862833799218,1.655459572189288,facebook/sam2-hiera-large,mean,0.1491360315469671,3,graph,33,z-score,pca,17,False,False,silhouette,5.0,1.9074645868904856,5,True,True,False,True,True,True,False,0.5038121843572397,0.5445857436563615,0.48362035814415627,0.3982454464945421,0.7768405744117846,0.1564090806288626,COMPLETE,,0.0,0
860,0.0,graph,33,root-norm,svd,54,True,True,silhouette,transformer.resblocks.11,ViT-B/32,blocks.4,dinov2_vitb14,layer3,resnet50,structural,0.007848584052157378,0.762427172986456,False,100,16,0.9472865808886883,0.9709838596112638,30,2,0.926048159996651,2.777912261861894,facebook/sam2-hiera-large,median,0.36613200662261824,3,graph,35,z-score,pca,54,True,True,heuristic,5.0,2.0296443999047495,5,False,True,False,False,True,True,True,0.6118920225859507,0.5269343452423796,0.7070439907405486,0.2610682490335713,0.8677164601075302,0.8391053878826048,COMPLETE,,0.0,0
861,0.0,kmeans,20,z-score,pca,49,False,True,heuristic,transformer.resblocks.9,ViT-B/32,blocks.11,dinov2_vitb14,layer2,resnet50,semantic,0.009998862418292533,0.6690876769862595,True,200,8,0.9754085806262064,0.9609651545440034,21,4,1.1245765544967157,2.2696372187913108,facebook/sam2-hiera-large,mean,0.21290038754253807,5,kmeans,40,z-score,umap,49,False,False,silhouette,3.0,3.587568618021688,3,True,True,True,True,False,True,False,0.7484251510532279,0.7380729427278993,0.47368091264719886,0.5561701078884936,0.7862329198253978,0.04423276095851825,COMPLETE,,0.0,0
862,0.0,graph,39,l2,svd,38,True,False,silhouette,transformer.resblocks.11,ViT-B/32,blocks.11,dinov2_vitb14,layer1,resnet50,structural,0.0022794877446660074,0.6326695386035962,False,50,32,0.8353935653877615,0.9249902958999681,27,3,0.5526731476577064,2.707951068700628,facebook/sam2-hiera-large,mean,0.27076345664394674,3,graph,34,root-norm,umap,46,True,True,silhouette,3.0,2.3788756715017234,5,False,True,False,False,True,False,False,0.5001010066317854,0.4804800449686213,0.5119617190373218,0.19006918654936353,0.6000017970564312,0.5606850495806068,COMPLETE,,0.0,0
863,0.0,graph,16,z-score,pca,32,False,True,heuristic,transformer.resblocks.10,ViT-B/32,blocks.4,dinov2_vitb14,layer3,resnet50,semantic,0.006033683955499029,0.7960092003790926,False,100,16,0.907050181771846,0.9214135925237992,24,3,0.8352612235610786,2.481160726569447,facebook/sam2-hiera-large,mean,0.3804276768757047,5,graph,37,z-score,svd,55,False,True,heuristic,,2.1142207743396844,3,True,False,False,False,False,True,True,0.6979919323825069,0.627110705400892,0.7418609125464288,0.3085256413888109,0.9607473995817315,0.011421333780634995,COMPLETE,,0.0,0
864,0.0,graph,14,z-score,umap,56,True,False,heuristic,transformer.resblocks.11,ViT-B/32,blocks.11,dinov2_vitb14,conv1,resnet50,semantic,0.00751608660777273,0.6228849428252843,True,200,32,0.8818182042972575,0.9466556389946047,17,4,1.090316443680087,2.6817538277603497,facebook/sam2-hiera-large,top_k_mean,0.2868407647754596,3,kmeans,29,l2,pca,39,True,False,silhouette,5.0,4.783242199461296,5,False,True,True,True,True,False,False,0.669393727087894,0.5986932032341489,0.7169347474523527,0.1396004040875828,0.8975574099022986,0.9442922449181669,COMPLETE,,0.0,0
865,0.0,kmeans,13,root-norm,svd,22,False,True,silhouette,transformer.resblocks.9,ViT-B/32,blocks.7,dinov2_vitb14,layer4,resnet50,structural,0.004777450470308642,0.640532815333987,False,50,8,0.8006448871333888,0.9552983165838057,29,2,0.7181608019626254,2.413077520121601,facebook/sam2-hiera-large,mean,0.10739007705924392,3,graph,12,z-score,umap,52,False,True,heuristic,3.0,1.408275403216518,3,True,True,False,False,False,True,True,0.7786712407559354,0.6069388800430394,0.6220253837990243,0.81628199396374,0.18655273370060224,0.49782867116242796,COMPLETE,,0.0,0
866,0.0,graph,37,l2,svd,48,True,True,heuristic,transformer.resblocks.10,ViT-B/32,blocks.4,dinov2_vitb14,layer3,resnet50,semantic,0.005442392497484028,0.6522464918750862,True,100,16,0.9216830865436588,0.9434965573997047,22,3,1.0624286497339022,2.912573722762176,facebook/sam2-hiera-large,median,0.12347543831150012,5,kmeans,27,z-score,pca,58,True,False,silhouette,7.0,2.8875345390448692,5,False,True,True,True,True,True,False,0.7153237690931759,0.654298490482574,0.7494417784480539,0.8491345627431374,0.25191337087415344,0.4248745032153285,COMPLETE,,0.0,0
867,0.0,graph,32,z-score,pca,16,True,False,silhouette,transformer.resblocks.11,ViT-B/32,blocks.11,dinov2_vitb14,layer1,resnet50,structural,0.005801394276894845,0.8327753651289347,False,200,32,0.8697604306809235,0.9274872428425432,23,3,0.9494613573325025,1.5881935644557312,facebook/sam2-hiera-large,mean,0.4822644583358158,3,graph,38,z-score,umap,63,False,True,heuristic,,3.7604421853805197,3,True,False,False,False,True,False,True,0.5576087894232007,0.7176278167955162,0.6383961263503051,0.36292813835157245,0.6386818934570111,0.861603104074462,COMPLETE,,0.0,0
852,0.0,kmeans,17,z-score,svd,43,True,False,heuristic,transformer.resblocks.11,ViT-B/32,blocks.11,dinov2_vitb14,layer3,resnet50,structural,0.0028641484645554023,0.8194426872780212,True,50,8,0.8560071320814536,0.9778586035677003,16,4,1.0176596687149122,2.5031020051069977,facebook/sam2-hiera-large,mean,0.23852723294940031,3,kmeans,31,z-score,svd,51,False,True,silhouette,3.0,2.6275030634791703,3,True,True,True,False,True,False,False,0.7019150052456099,0.6916005293274549,0.6272185581795421,0.290086049778905,0.5365082322247768,0.759908226326048,COMPLETE,,0.0,0
