number,value,params_dino_pipeline.clustering.clusterer.method,params_dino_pipeline.clustering.clusterer.n_neighbors,params_dino_pipeline.clustering.feature_processing.normalizer.method,params_dino_pipeline.clustering.feature_processing.reducer.method,params_dino_pipeline.clustering.feature_processing.reducer.n_components,params_dino_pipeline.clustering.feature_processing.run_normalization,params_dino_pipeline.clustering.feature_processing.run_reduction,params_dino_pipeline.clustering.k_selection.method,params_extractors.clip.layer_name,params_extractors.clip.model_name,params_extractors.dino_v2.layer_name,params_extractors.dino_v2.model_name,params_extractors.resnet.layer_name,params_extractors.resnet.model_name,params_fusion_pipeline.clustering.k_selection.k_source,params_heuristic_settings.filter_params.filter_min_area_perc,params_heuristic_settings.filter_params.nms_iou_threshold,params_heuristic_settings.filter_params.use_nms,params_heuristic_settings.generator_params.min_mask_region_area,params_heuristic_settings.generator_params.points_per_side,params_heuristic_settings.generator_params.pred_iou_thresh,params_heuristic_settings.generator_params.stability_score_thresh,params_heuristic_settings.k_heuristic_formulas.max_k,params_heuristic_settings.k_heuristic_formulas.semantic_base,params_heuristic_settings.k_heuristic_formulas.semantic_scale_factor,params_heuristic_settings.k_heuristic_formulas.structural_multiplier,params_heuristic_settings.sam_model,params_labeler.aggregation_method,params_labeler.aggregation_top_k_perc,params_labeler.top_n_labels,params_resnet_pipeline.clustering.clusterer.method,params_resnet_pipeline.clustering.clusterer.n_neighbors,params_resnet_pipeline.clustering.feature_processing.normalizer.method,params_resnet_pipeline.clustering.feature_processing.reducer.method,params_resnet_pipeline.clustering.feature_processing.reducer.n_components,params_resnet_pipeline.clustering.feature_processing.run_normalization,params_resnet_pipeline.clustering.feature_processing.run_reduction,params_resnet_pipeline.clustering.k_selection.method,params_resnet_pipeline.image_preprocessing.blur_kernel_size,params_resnet_pipeline.image_preprocessing.clahe_clip_limit,params_resnet_pipeline.image_preprocessing.sobel_kernel_size,params_resnet_pipeline.image_preprocessing.use_clahe,params_resnet_pipeline.image_preprocessing.use_gaussian_blur,params_resnet_pipeline.image_preprocessing.use_grayscale,params_resnet_pipeline.image_preprocessing.use_sobel_edges,params_run_dino_pipeline,params_run_fusion_pipeline,params_run_resnet_pipeline,params_validator_settings.final_threshold,params_validator_settings.semantic_threshold,params_validator_settings.structural_threshold,params_validator_settings.weights.clip_confidence,params_validator_settings.weights.dino_iou,params_validator_settings.weights.resnet_iou,state,user_attrs_error,user_attrs_max_clip_confidence,user_attrs_num_correct_segments
149,0.0,graph,31,z-score,pca,62,False,True,heuristic,transformer.resblocks.11,ViT-B/32,blocks.4,dinov2_vitb14,layer4,resnet50,semantic,0.008531634576201553,0.7859466346598701,True,200,8,0.9593886947062417,0.9443703955977212,22,4,0.6387195920110605,2.369596208332753,facebook/sam2-hiera-large,median,0.3643936951521085,5,kmeans,21,root-norm,umap,27,False,False,silhouette,5.0,4.223178281492135,3,True,True,True,True,False,False,True,0.5457470632114727,0.5161700867763216,0.6246170915293044,0.13202470864487867,0.12436801638704947,0.3231846756372925,COMPLETE,,0.0,0.0
150,0.0,kmeans,38,root-norm,umap,31,True,False,silhouette,transformer.resblocks.9,ViT-B/32,blocks.11,dinov2_vitb14,layer2,resnet50,structural,0.0044497738800904595,0.7212228155562841,False,50,32,0.8541494310062956,0.9224880085446442,15,2,0.9589025460259658,1.7326538129050204,facebook/sam2-hiera-large,top_k_mean,0.16285929552340414,5,graph,16,z-score,pca,48,True,True,heuristic,3.0,1.2051454043645136,5,True,True,False,False,True,True,False,0.7492237814135239,0.7033587410939094,0.5029381538014748,0.49299840291980446,0.44089794480118033,0.4391276832224795,COMPLETE,,0.0,0.0
151,0.0,graph,40,z-score,svd,41,False,True,heuristic,transformer.resblocks.9,ViT-B/32,blocks.4,dinov2_vitb14,layer1,resnet50,semantic,0.008946178533494168,0.6122608738357693,True,100,8,0.973509250723364,0.947581242569027,16,4,0.8040915131699913,2.3083673493887993,facebook/sam2-hiera-large,mean,0.1540648154948232,3,kmeans,32,z-score,svd,64,False,False,silhouette,,3.463518738123648,3,False,False,True,True,False,False,False,0.6936971576635217,0.6421486647542168,0.6440390139505772,0.6568950454884416,0.5908362611855851,0.9623862852302951,COMPLETE,,0.0,0.0
152,0.0,spectral,40,root-norm,pca,60,False,True,silhouette,transformer.resblocks.10,ViT-B/32,blocks.4,dinov2_vitb14,layer1,resnet50,semantic,0.007943176999612438,0.7355758899205809,False,100,8,0.8259579700840627,0.9290789849881794,28,3,0.7291133070709116,2.96543305856414,facebook/sam2-hiera-large,median,0.42044942286679005,5,graph,20,z-score,pca,42,False,False,heuristic,3.0,3.3920410246700725,3,True,True,True,True,True,False,False,0.6710398483713871,0.47291468296533185,0.6057748183006422,0.5891780517867413,0.9213930872398842,0.6639489931970114,COMPLETE,,0.0,0.0
153,0.0,spectral,38,root-norm,pca,56,False,True,silhouette,transformer.resblocks.10,ViT-B/32,blocks.4,dinov2_vitb14,layer1,resnet50,semantic,0.007027607090606634,0.7267188577251629,False,100,8,0.8471783436867535,0.917994380804604,30,3,0.8304909534971113,2.913656638229647,facebook/sam2-hiera-large,median,0.1844102719471576,5,graph,22,z-score,pca,40,False,False,heuristic,3.0,3.533259154830751,3,True,True,True,True,True,False,False,0.6639969671502975,0.6122170652969958,0.6352605682376886,0.015196372424290047,0.8015458345976036,0.7362491896959911,COMPLETE,,0.0,0.0
154,0.0,spectral,39,root-norm,pca,22,False,True,silhouette,transformer.resblocks.10,ViT-B/32,blocks.4,dinov2_vitb14,layer1,resnet50,semantic,0.007809229438752198,0.6053631480538323,False,100,8,0.838353541244427,0.9730958618140843,27,4,0.6194415791830897,2.9648187158037094,facebook/sam2-hiera-large,median,0.4112754850577039,5,graph,23,z-score,pca,43,False,False,heuristic,3.0,3.750781800988049,3,True,True,True,True,True,False,False,0.6491467979474739,0.48603667497555997,0.6288042196366255,0.02217076769476021,0.1796610964454743,0.7179235640813335,COMPLETE,,0.0,0.0
155,0.0,spectral,25,root-norm,pca,55,False,True,silhouette,transformer.resblocks.10,ViT-B/32,blocks.4,dinov2_vitb14,conv1,resnet50,semantic,0.0030842326040570094,0.714092926370856,False,100,8,0.9274573295331875,0.9698184544951688,21,4,0.9782843756118385,2.8442742966747536,facebook/sam2-hiera-large,median,0.39407300520831506,5,graph,24,z-score,pca,45,False,False,heuristic,3.0,1.0941950221415997,3,True,True,True,True,True,False,False,0.6576988843717991,0.5026080039635714,0.44961523653204943,0.44506310908805147,0.6790621733846324,0.6951887016269483,COMPLETE,,0.0,0.0
156,0.0,spectral,23,l2,pca,57,False,False,silhouette,transformer.resblocks.10,ViT-B/32,blocks.7,dinov2_vitb14,layer1,resnet50,semantic,0.008200843136155255,0.7620809487727335,False,50,32,0.9239171737614661,0.9083616812694105,29,3,1.156766181466278,1.9585153917332048,facebook/sam2-hiera-large,median,0.43352683521008717,5,graph,18,l2,umap,41,True,True,heuristic,7.0,3.2727820325006425,3,True,True,False,True,True,False,True,0.679557531173136,0.4612817594517047,0.6109126086949865,0.7563944877827379,0.8414361711615641,0.11957777694989705,COMPLETE,,0.0,0.0
157,0.0,graph,26,z-score,svd,53,True,True,silhouette,transformer.resblocks.11,ViT-B/32,blocks.4,dinov2_vitb14,layer2,resnet50,structural,0.005253979795856914,0.7461596082252369,False,50,16,0.8604690532403628,0.9256470963862228,26,4,0.8489094889118328,1.8200404588358317,facebook/sam2-hiera-large,top_k_mean,0.3793583387242624,3,spectral,38,root-norm,pca,57,False,False,heuristic,5.0,3.0894201325158974,5,True,True,True,True,False,True,False,0.5367387435905563,0.51198086003503,0.7300666790951075,0.0007929132105373299,0.7321240084466172,0.4129540075420319,COMPLETE,,0.0,0.0
158,0.0,kmeans,40,root-norm,pca,20,False,False,heuristic,transformer.resblocks.9,ViT-B/32,blocks.11,dinov2_vitb14,conv1,resnet50,semantic,0.002535863218066154,0.6434356265033945,True,100,8,0.9658925886054863,0.9123948107957719,27,4,0.745303457570688,2.0575403167245585,facebook/sam2-hiera-large,median,0.4718084393208357,5,graph,19,z-score,svd,39,True,True,silhouette,3.0,1.93475879420639,3,False,True,False,False,True,True,False,0.6895091345901916,0.499941760570313,0.6550292687164843,0.06561406720457626,0.6445343459036287,0.9870473560889863,COMPLETE,,0.0,0.0
159,0.0,graph,32,z-score,umap,48,True,True,silhouette,transformer.resblocks.9,ViT-B/32,blocks.4,dinov2_vitb14,layer1,resnet50,semantic,0.008692423914489125,0.7077116434264918,False,200,32,0.8820246577446298,0.9364109652441139,30,3,1.1994199852608654,2.9954968009051486,facebook/sam2-hiera-large,top_k_mean,0.4536614781629757,3,kmeans,20,root-norm,umap,54,False,False,heuristic,,3.8365482675295253,3,True,False,True,True,False,False,True,0.7061701498546202,0.7123816918347647,0.4636308921720985,0.2532397807806027,0.8758468817174934,0.9279576849385317,COMPLETE,,0.0,0.0
160,0.0,spectral,37,z-score,pca,64,False,True,heuristic,transformer.resblocks.10,ViT-B/32,blocks.11,dinov2_vitb14,layer4,resnet50,structural,0.007581235305071408,0.67469658156345,True,50,8,0.8494444451008337,0.978719004673173,28,4,0.6989717333971394,2.2305059507548903,facebook/sam2-hiera-large,mean,0.34583037639340086,5,graph,22,l2,pca,29,True,False,heuristic,3.0,2.3338218388077587,3,True,True,False,True,True,True,False,0.554740552675152,0.6237268229518809,0.4834475875039347,0.039646811998287346,0.0003145749963801162,0.6415747202346394,COMPLETE,,0.0,0.0
161,0.0,graph,33,l2,svd,52,True,False,silhouette,transformer.resblocks.11,ViT-B/32,blocks.7,dinov2_vitb14,layer3,resnet50,semantic,0.0011878074394787682,0.7005019004683155,False,50,32,0.955534299429262,0.9534466284769664,21,4,0.8798388768665057,1.8552821864223572,facebook/sam2-hiera-large,median,0.28483032901741107,5,kmeans,33,z-score,svd,24,False,True,silhouette,7.0,1.333600957069648,5,False,True,True,False,False,False,False,0.6698750171077166,0.558238266978349,0.5929263009370772,0.845129530349181,0.5207968906418889,0.5401394160291915,COMPLETE,,0.0,0.0
