number,value,params_dino_pipeline_clustering_clusterer_method,params_dino_pipeline_clustering_feature_processing_normalizer_method,params_dino_pipeline_clustering_k_selection_method,params_extractors_dino_v2_layer_name,params_extractors_resnet_layer_name,params_heuristic_settings_filter_params_filter_min_area_perc,params_heuristic_settings_generator_params_points_per_side,params_heuristic_settings_generator_params_pred_iou_thresh,params_heuristic_settings_generator_params_stability_score_thresh,params_heuristic_settings_k_heuristic_formulas_semantic_scale_factor,params_heuristic_settings_k_heuristic_formulas_structural_multiplier,params_resnet_pipeline_clustering_clusterer_method,params_resnet_pipeline_clustering_feature_processing_normalizer_method,params_resnet_pipeline_clustering_k_selection_method,params_resnet_pipeline_image_preprocessing_use_gaussian_blur,params_run_dino_pipeline,params_run_resnet_pipeline,params_validator_settings_semantic_threshold,params_validator_settings_structural_threshold,params_validator_settings_weights_clip_confidence,params_validator_settings_weights_dino_iou,params_validator_settings_weights_resnet_iou,state,user_attrs_avg_dino_iou,user_attrs_avg_resnet_iou,user_attrs_best_clip_confidence_any,user_attrs_best_dino_iou,user_attrs_best_resnet_iou,user_attrs_error,user_attrs_k_semantic_used,user_attrs_k_structural_used,user_attrs_max_clip_confidence,user_attrs_num_correct_segments,user_attrs_num_sam_masks,user_attrs_value
261,0.0,kmeans,l2,heuristic,blocks.11,layer2,0.004847280233164523,32,0.8957910290377057,0.9643636236659965,0.6955865571533265,2.2469984927221125,graph,l2,heuristic,True,True,False,0.53409716175023,0.5908964744050144,0.36113818137393977,0.9388047048346403,0.5901446885656614,COMPLETE,0.0,0.0,0.0,0.0,0.0,,3,2,0.0,0,2,0.0
262,0.0,graph,root-norm,heuristic,blocks.11,layer1,0.0075917965646495646,8,0.8815852518262308,0.9199605328517161,0.7509806422441888,2.3748926886294894,kmeans,root-norm,silhouette,False,False,True,0.6416484425215734,0.42006934046225947,0.26254495897034835,0.02834400129820545,0.004267083423770985,COMPLETE,0.0,0.0,0.0,0.0,0.0,,3,2,0.0,0,2,0.0
263,0.0,kmeans,l2,heuristic,blocks.7,layer1,0.0024999541841026554,16,0.8642831357661207,0.9328565128613898,0.9326552766188909,2.7759008709880164,graph,root-norm,silhouette,False,True,True,0.5460666701210318,0.4378004520954245,0.465129187089204,0.0006049271866709911,0.6689213153364221,COMPLETE,0.0,0.0,0.0,0.0,0.0,,3,2,0.0,0,2,0.0
264,0.0,kmeans,l2,silhouette,blocks.11,layer1,0.009574255153013831,32,0.878199526644485,0.9489729052298612,0.8923669002753258,2.975370017721997,graph,root-norm,heuristic,False,False,True,0.4562995883792605,0.5620264944127483,0.22390260856986488,0.7168172039388577,0.30770624313227646,COMPLETE,0.0,0.0,0.0,0.0,0.0,,3,2,0.0,0,2,0.0
265,0.0,kmeans,root-norm,heuristic,blocks.7,layer3,0.00990167660751803,8,0.8504463053427171,0.9606967133427861,0.6037318209707943,2.0173689982304897,kmeans,l2,silhouette,False,True,False,0.4239334946089569,0.4924860171164585,0.9234245709735679,0.5689978329275787,0.5384756298540068,COMPLETE,0.0,0.0,0.0,0.0,0.0,,3,2,0.0,0,2,0.0
266,0.0,graph,l2,heuristic,blocks.11,layer2,0.004279980887816487,32,0.9206554024510951,0.938009610505583,0.8331236517273204,2.7074174911148745,graph,root-norm,silhouette,True,True,True,0.465307338684197,0.4717815404843583,0.7210683033488089,0.48396106911540016,0.42165853313653756,COMPLETE,0.0,0.0,0.0,0.0,0.0,,3,2,0.0,0,2,0.0
267,0.0,kmeans,root-norm,heuristic,blocks.7,layer1,0.008376913134121772,8,0.9304572030639686,0.9405496428566797,1.1428674783490982,2.2110460393551614,kmeans,root-norm,heuristic,False,False,True,0.43574315743111525,0.5036684309847109,0.7409109636089127,0.8381312049129056,0.49554153644920695,COMPLETE,0.0,0.0,0.0,0.0,0.0,,3,2,0.0,0,2,0.0
252,0.0,kmeans,root-norm,heuristic,blocks.7,layer1,0.006199085250706409,16,0.8765126824820271,0.9288909312418651,0.6555695916423785,2.1228407730397056,graph,l2,silhouette,False,True,False,0.4978729127535572,0.6374794739352815,0.79985295266953,0.7486118726095252,0.6431689987313439,COMPLETE,0.0,0.0,0.0,0.0,0.0,,3,2,0.0,0,2,0.0
253,0.0,graph,l2,heuristic,blocks.11,layer1,0.00438173150330486,32,0.8608170581637266,0.9752094446224393,0.7644278052726035,2.930888505558649,kmeans,root-norm,heuristic,True,False,True,0.4791338046499297,0.4983279213809664,0.18134273943131615,0.3964504957764611,0.6943447268964523,COMPLETE,0.0,0.0,0.0,0.0,0.0,,3,2,0.0,0,2,0.0
254,0.0,kmeans,root-norm,heuristic,blocks.7,layer1,0.006581493163493094,8,0.892013072008635,0.9023492666236667,0.501995775550326,2.85578493138572,graph,root-norm,silhouette,False,True,True,0.7423892193444934,0.4425656256580413,0.3873907887915485,0.31588053979062175,0.34915705526505875,COMPLETE,0.0,0.0,0.0,0.0,0.0,,3,2,0.0,0,2,0.0
255,0.0,kmeans,l2,silhouette,blocks.11,layer2,0.0037048031272085753,32,0.934284338607667,0.9684295643837852,1.049638625217534,2.317598528865668,kmeans,root-norm,silhouette,False,True,True,0.6579385735752958,0.599583441229796,0.5211284216103799,0.3638567462554101,0.7659788516003222,COMPLETE,0.0,0.0,0.0,0.0,0.0,,3,2,0.0,0,2,0.0
256,0.0,kmeans,l2,heuristic,blocks.7,layer3,0.007057381230936865,8,0.8673432721921807,0.9122637729956217,0.8769498851130241,2.1921558470987303,graph,root-norm,heuristic,False,False,False,0.6049316653432928,0.7217128842796818,0.830188001900181,0.24891228692185186,0.22635051678069612,COMPLETE,0.0,0.0,0.0,0.0,0.0,,3,2,0.0,0,2,0.0
257,0.0,graph,root-norm,heuristic,blocks.11,layer1,0.008630266584917664,16,0.8565998097143949,0.9005732371941035,0.8046615896710659,2.7427044406991326,graph,l2,silhouette,True,True,True,0.6921400153788945,0.5783796400844984,0.49678367522935823,0.187949692110503,0.9095228788567529,COMPLETE,0.0,0.0,0.0,0.0,0.0,,3,2,0.0,0,2,0.0
258,0.0,kmeans,l2,heuristic,blocks.7,layer1,0.007808670636752521,32,0.901370900807517,0.917589763337749,0.725156850017257,1.5021227893216293,kmeans,root-norm,heuristic,False,False,True,0.40718241723617166,0.548152426321414,0.5796167777117393,0.6269589632175182,0.18278660333162228,COMPLETE,0.0,0.0,0.0,0.0,0.0,,3,2,0.0,0,2,0.0
259,0.0,kmeans,l2,heuristic,blocks.11,layer1,0.005132636380577873,8,0.884741806008806,0.9627333047248916,0.5872172368096299,2.816079606306882,graph,root-norm,silhouette,False,True,True,0.401993531947484,0.46031371086084155,0.6140386198343808,0.7846040339720309,0.04967002619142935,COMPLETE,0.0,0.0,0.0,0.0,0.0,,3,2,0.0,0,2,0.0
244,0.0,kmeans,root-norm,heuristic,blocks.11,layer1,0.005737567093520093,8,0.864764305046185,0.9773446997529838,0.6902933977030157,2.971239209262092,graph,root-norm,heuristic,False,True,True,0.5053594095767593,0.5949965848437306,0.479190018486867,0.2844832884281704,0.13772703242181517,COMPLETE,0.0,0.0,0.0,0.0,0.0,,3,2,0.0,0,2,0.0
245,0.0,graph,root-norm,heuristic,blocks.7,layer3,0.005911159883362758,8,0.8589518714334461,0.9371059459560291,0.7327173153724443,1.7133284319774964,graph,root-norm,heuristic,True,False,True,0.5263823509736887,0.5724831388451952,0.647090300241306,0.2203246095947723,0.2502297179243259,COMPLETE,0.0,0.0,0.0,0.0,0.0,,3,2,0.0,0,2,0.0
246,0.0,kmeans,l2,heuristic,blocks.11,layer1,0.005619583553455527,8,0.9081131721658837,0.9268530614380422,0.9091001984729864,2.046141548352646,kmeans,root-norm,silhouette,False,True,True,0.6309536813866623,0.616737245673636,0.4615979821148288,0.552628728348128,0.023612356131969343,COMPLETE,0.0,0.0,0.0,0.0,0.0,,3,2,0.0,0,2,0.0
247,0.0,kmeans,root-norm,silhouette,blocks.7,layer1,0.0063668415348188635,32,0.8833758685720557,0.9448502953124585,0.7092733414933069,1.7697705572485256,graph,root-norm,heuristic,False,False,True,0.48982390312378454,0.4100768521208704,0.4196713086828742,0.461398592054521,0.08177211317772645,COMPLETE,0.0,0.0,0.0,0.0,0.0,,3,2,0.0,0,2,0.0
248,0.0,kmeans,l2,heuristic,blocks.11,layer1,0.005965871929350416,16,0.8742203963055227,0.9573141896423751,0.5510248599399287,2.533095858901212,kmeans,l2,silhouette,False,True,False,0.7156371929792489,0.6270851189827666,0.9747369164765716,0.43389903497114823,0.10390081360379878,COMPLETE,0.0,0.0,0.0,0.0,0.0,,3,2,0.0,0,2,0.0
249,0.0,graph,root-norm,heuristic,blocks.11,layer2,0.0031197197751022913,8,0.9258152361137891,0.9651294180338592,0.8414091308168464,2.892670556820867,graph,root-norm,silhouette,True,False,True,0.5615523708702451,0.4513044902833052,0.8949105930610721,0.00835380615812253,0.5592085978846679,COMPLETE,0.0,0.0,0.0,0.0,0.0,,3,2,0.0,0,2,0.0
250,0.0,kmeans,l2,heuristic,blocks.7,layer3,0.007478638134740147,32,0.8710190679537083,0.972442987692947,1.0229759835122931,2.1668422341294202,graph,root-norm,heuristic,False,True,True,0.5134471218879638,0.5361347247001352,0.9464337929445297,0.5911287652186732,0.46881411754132896,COMPLETE,0.0,0.0,0.0,0.0,0.0,,3,2,0.0,0,2,0.0
251,0.0,kmeans,l2,silhouette,blocks.11,layer1,0.005730851395799235,8,0.9041996128738826,0.9142325298588974,0.788245010524028,2.411290095539438,kmeans,root-norm,silhouette,False,False,True,0.6493537060029066,0.48580869342728367,0.43680649111363534,0.26997199556049883,0.8031870690885439,COMPLETE,0.0,0.0,0.0,0.0,0.0,,3,2,0.0,0,2,0.0
236,0.0,kmeans,l2,heuristic,blocks.11,layer2,0.008224697781972993,8,0.9185648585930525,0.9217773524874225,0.9434369886087051,2.95251834618756,graph,l2,silhouette,False,False,False,0.44085628213353273,0.5271928439994868,0.8741223154451424,0.5183126072113933,0.06999383562281503,COMPLETE,0.0,0.0,0.0,0.0,0.0,,3,2,0.0,0,2,0.0
237,0.0,graph,l2,heuristic,blocks.7,layer1,0.007923730461356937,32,0.9146104313227695,0.9552587283641149,0.6152086566736522,2.343478361778451,kmeans,root-norm,heuristic,True,True,True,0.46174856555912586,0.4300803221971069,0.43455159598052007,0.41635481488625264,0.17368902308761738,COMPLETE,0.0,0.0,0.0,0.0,0.0,,3,2,0.0,0,2,0.0
238,0.0,kmeans,root-norm,heuristic,blocks.11,layer1,0.003935574987101141,8,0.8722565048662551,0.947490710930967,0.6322566769669914,2.779493834273134,graph,root-norm,silhouette,False,False,True,0.47287170682717994,0.7098355678435188,0.4060009246055368,0.2905985054932805,0.7171919482404823,COMPLETE,0.0,0.0,0.0,0.0,0.0,,3,2,0.0,0,2,0.0
239,0.0,kmeans,l2,silhouette,blocks.7,layer1,0.003489705583660058,16,0.8533455833562833,0.9347143517046484,0.8589034524234102,2.500714650780335,kmeans,root-norm,silhouette,False,True,True,0.7311203467596499,0.5648333570747178,0.7286968734901432,0.154545252131623,0.6051617915683909,COMPLETE,0.0,0.0,0.0,0.0,0.0,,3,2,0.0,0,2,0.0
240,0.0,kmeans,l2,heuristic,blocks.11,layer2,0.009799695577111422,32,0.9765041132172843,0.9706262527375547,0.9203246310495155,2.567544113907045,graph,l2,silhouette,False,True,False,0.6793068347376288,0.464121830136101,0.5593819266237595,0.8783578419775688,0.12261471781666998,COMPLETE,0.0,0.0,0.0,0.0,0.0,,3,2,0.0,0,2,0.0
241,0.0,kmeans,root-norm,heuristic,blocks.11,layer1,0.006099477271692156,8,0.8671396905466026,0.9761584598539434,0.6608290279208797,2.9477122232925406,graph,root-norm,heuristic,False,True,True,0.5252252933400489,0.6256167996857206,0.4758805127970085,0.35707669745131976,0.10868944725122122,COMPLETE,0.0,0.0,0.0,0.0,0.0,,3,2,0.0,0,2,0.0
242,0.0,kmeans,root-norm,heuristic,blocks.11,layer1,0.005420759519763787,8,0.8624811773241365,0.9787535841641852,0.674524772764639,2.99259992537351,graph,root-norm,heuristic,False,True,True,0.5375441458294034,0.614800263012152,0.4489865887385859,0.3165304069667044,0.940256057576019,COMPLETE,0.0,0.0,0.0,0.0,0.0,,3,2,0.0,0,2,0.0
